EPBC Number,Project,Offset Name,Project Approval Date,Project Approval Expiry Date,Approval Holder,Url,Scraped
2012/6631,Jindee Residential Development,Under review,2013-07-18,2033-12-31,WESTMINSTER ESTATES PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=a095f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2011/5973,Additions to Awaba Waste Disposal Facility,Under review,2013-07-16,2033-12-31,Lake Macquarie City Council,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=b394f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2013/6823,Installation of the Mt Ridley Road West Water Mains (M703 & R004) and associated infrastructure,Under review,2013-06-27,2023-08-31,YARRA VALLEY WATER CORPORATION,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=5294f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2013/6773,"Residential development, 255 North Road Langwarrin, Vic",Under review,2013-06-16,2023-05-01,DURAN INVESTMENTS,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=4294f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2011/6021,Eglinton/South Yanchep Residential Development,Under review,2013-06-14,2038-03-31,Western Australia Land Authority (trading as LandCorp),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d594f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2011/6021,Eglinton/South Yanchep Residential Development,Under review,2013-06-14,2038-03-31,Western Australia Land Authority (trading as LandCorp),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d594f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2011/6021,Eglinton/South Yanchep Residential Development,Under review,2013-06-14,2038-03-31,Western Australia Land Authority (trading as LandCorp),https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=d594f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2011/5987,Caloundra South Master Planned Community,Under review,2013-06-06,2048-06-30,STOCKLAND CALOUNDRA DOWNS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=bb94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2011/5987,Caloundra South Master Planned Community,Under review,2013-06-06,2048-06-30,STOCKLAND CALOUNDRA DOWNS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=bb94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
2011/5987,Caloundra South Master Planned Community,Under review,2013-06-06,2048-06-30,STOCKLAND CALOUNDRA DOWNS PTY LTD,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=bb94f6ca-6067-e511-b4b8-005056ba00ab,2023-02-17
